Subsystem,Signal / Tag Name,Description,OPC-UA Node Address,Data Type,Eng Units,Signal Source,Scaling / Derivation,Sensor Span Min,Sensor Span Max,Nominal Value,Desired Range Min,Desired Range Max,Low Interlock (Trip),Low-Low,Low,High,High-High,High Interlock (Trip),Alarm Deadband / Hysteresis,Alarm On-Delay (s),Interlock Action,DCS Access,Historize?,Min Historization Rate (ms),Poll / Scan Rate (ms),Notes,Control Owner
Services,MainPid,"Main process identifier, if applicable.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Services.{Service}.MainPid,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; service recovery owned by PDS operations | INSTANCE=per required service; see Instance Sets | SOURCE=SlowControlStatusResponse.ServiceStatus / systemd | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Service fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Services,RestartCount,Cumulative automatic restart count for this boot.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Services.{Service}.RestartCount,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; service recovery owned by PDS operations | INSTANCE=per required service; see Instance Sets | SOURCE=SlowControlStatusResponse.ServiceStatus / systemd | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Service fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Services,StartTime,Time the current service instance started.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Services.{Service}.StartTime,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; service recovery owned by PDS operations | INSTANCE=per required service; see Instance Sets | SOURCE=SlowControlStatusResponse.ServiceStatus / systemd | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Service fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Services,LastExitStatus,Most recent terminal exit status/result.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Services.{Service}.LastExitStatus,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; service recovery owned by PDS operations | INSTANCE=per required service; see Instance Sets | SOURCE=SlowControlStatusResponse.ServiceStatus / systemd | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Service fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
OPC-UA Bridge,Heartbeat,Monotonic OPC-UA bridge heartbeat.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.Heartbeat,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,Version,Running bridge software version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.Version,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,ConfigurationPath,Controlled configuration source path or identifier.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.ConfigurationPath,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,ConfigurationHash,Digest of the effective bridge configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.ConfigurationHash,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,NamespaceVersion,Published OPC-UA information-model version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.NamespaceVersion,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,BoardCount,Number of configured DAPHNE board instances.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.BoardCount,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,WorkerCount,Bounded background DAPHNE poll worker count.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.WorkerCount,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,CertificateNotAfter,OPC-UA server certificate expiry.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.CertificateNotAfter,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,RejectedSessionCount,Cumulative rejected OPC-UA sessions.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.RejectedSessionCount,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,PollTimeoutCount,Cumulative DAPHNE polling timeouts.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.PollTimeoutCount,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,PollErrorCount,Cumulative DAPHNE polling errors.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.PollErrorCount,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,BackendProtocolVersion,DAPHNE Protobuf/ZMQ backend schema and compatibility-adapter version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.BackendProtocolVersion,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,BackendCompatibilityState,"Compatibility of the gateway adapter with every configured board: Compatible, Degraded, or Incompatible.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.BackendCompatibilityState,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,ActiveDaqSessionCount,Authenticated active OPC-UA sessions holding the DAQ client role.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.ActiveDaqSessionCount,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,ActiveSlowControlsSessionCount,Authenticated active OPC-UA sessions holding the Slow Controls client role.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.ActiveSlowControlsSessionCount,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,UnauthorizedMethodCount,Cumulative method calls rejected by OPC-UA role or field-level authorization.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.UnauthorizedMethodCount,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,CommandQueueDepth,Number of accepted board mutations waiting in the gateway serializer.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.CommandQueueDepth,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
OPC-UA Bridge,TranslationErrorCount,Cumulative failures translating typed OPC-UA operations to or from the DAPHNE backend protocol.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Bridge.TranslationErrorCount,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Neutral PDS gateway deployment shared by DAQ and SC | INSTANCE=one per bridge shard | SOURCE=NP04 bridge for current fields; production shared-gateway contract otherwise | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Bridge health | INTERLOCK=No | CONTROL_OWNER=PDS OPC-UA gateway service,PDS OPC-UA gateway service
Firmware,Loaded,Expected FPGA image is loaded and FPGA manager reports operating.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.Loaded,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=SlowControlStatusResponse.FirmwareStatus.loaded | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,FpgaManagerState,Raw FPGA manager state.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.FpgaManagerState,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FirmwareStatus.fpga_manager_state | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,OverlayName,Active FPGA application/overlay name.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.OverlayName,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FirmwareStatus.overlay_name | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,BuildId,Gateware build identifier extracted from release metadata.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.BuildId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FirmwareStatus.build_id | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,GitCommit,Gateware Git revision read from the configuration register.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.GitCommit,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=LOCAL READABLE | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FpgaRegDict.GIT | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,ExpectedBuildId,Build identity required by the active release/configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.ExpectedBuildId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=release manifest | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,BuildMatchesExpected,Running FPGA build matches the release/configuration contract.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.BuildMatchesExpected,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=derived comparison | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,RegisterMapVersionMatches,Gateware register-map version matches the board-service schema.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.RegisterMapVersionMatches,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=idVersion + server manifest | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,PlI2cDevicePresent,PL I2C platform device is present.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.PlI2cDevicePresent,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FirmwareStatus.pl_devices_present / preflight | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,PlSpiDevicePresent,PL SPI platform device is present.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.PlSpiDevicePresent,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=FirmwareStatus.pl_devices_present / preflight | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,ActiveXmutilApplication,Active xmutil accelerator application.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.ActiveXmutilApplication,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=LOCAL READABLE | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=xmutil listapps | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,FirmwareUpdateState,"Idle, Preparing, Programming, Verifying, Succeeded, or Failed.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.FirmwareUpdateState,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=firmware update contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,FirmwarePathAvailable,Normal configuration/monitor path remains available.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.FirmwarePathAvailable,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=firmware update contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,FirmwareArtifactSha256,Digest of the loaded/installed FPGA artifact.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.FirmwareArtifactSha256,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=release/deployment manifest | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,ServerVersion,DAPHNE board-service software version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.ServerVersion,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=board service build metadata | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,ProtobufSchemaVersion,ControlEnvelope/Protobuf schema compatibility version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.ProtobufSchemaVersion,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=board service build metadata | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,GatewareHeartbeat,Monotonic PL heartbeat or watchdog counter.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.GatewareHeartbeat,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=required gateware health block | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,GatewareFatalFaultLatched,Latched fatal gateware error state.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.GatewareFatalFaultLatched,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=required gateware health block | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,GatewareResetReason,Last gateware reset cause.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.GatewareResetReason,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=required gateware health block | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
Firmware,ConfigurationReady,Analog/front-end configuration path has reached a stable ready state.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Firmware.ConfigurationReady,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; updates are expert maintenance | INSTANCE=one per DAPHNE board | SOURCE=analog-control contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Firmware readiness | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls,Slow Controls
RPU,Available,RPU/remoteproc control backend is available.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.RPU.Available,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; RPU owns safety-critical AFE sequencing | INSTANCE=one per DAPHNE board | SOURCE=SlowControlStatusResponse.RpuStatus / RPU wire status | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Control-path fault | INTERLOCK=Context | CONTROL_OWNER=Slow Controls,Slow Controls
RPU,Running,RPU firmware is running.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.RPU.Running,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; RPU owns safety-critical AFE sequencing | INSTANCE=one per DAPHNE board | SOURCE=SlowControlStatusResponse.RpuStatus / RPU wire status | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Control-path fault | INTERLOCK=Yes | CONTROL_OWNER=Slow Controls,Slow Controls
RPU,Firmware,RPU firmware image name/version.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.RPU.Firmware,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; RPU owns safety-critical AFE sequencing | INSTANCE=one per DAPHNE board | SOURCE=SlowControlStatusResponse.RpuStatus / RPU wire status | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Control-path fault | INTERLOCK=Context | CONTROL_OWNER=Slow Controls,Slow Controls
RPU,Heartbeat,Monotonic RPU safety/control heartbeat.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.RPU.Heartbeat,Long,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only; RPU owns safety-critical AFE sequencing | INSTANCE=one per DAPHNE board | SOURCE=SlowControlStatusResponse.RpuStatus / RPU wire status | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Control-path fault | INTERLOCK=Yes | CONTROL_OWNER=Slow Controls,Slow Controls
